ID,TIF DISTRICT,PROJECT NAME,ADDRESS,DEVELOPER,PROJECT ID,PROJECT DESCRIPTION,CDC DATE,APPROVED AMOUNT,TOTAL PROJECT COST,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
1552,Central West,Women's Treatment Center,140 N Ashland Av,The Women's Treatment Center,743,"The project is the rehabilitation of a 105,000 square foot building that serves as a residential treatment center for women who are pregnant and/or have young children and are suffering from substance abuse.  The improvements include fa?ade and masonry restoration, elevator upgrades, lighting upgrades, HVAC repair & upgrades, roof replacement, lobby improvements and repairs.",11/13/2007,$1000000,$3366459,1165683.996995108,1901211.265605895,41.884514197,-87.667042094,"(41.884514197004, -87.667042094157)"
12861,North Pullman,CNI-Gotham Greens,10700 S Doty Av East,Chicago Neighborhood Initiative,,"Chicago Neighborhood Initiatives, Inc. is requesting TIF funds in the amount of $3,355,000 for site preparation work for a 6.2 acre parcel to be conveyed to Gotham Greens. CNI would complete site grading, install environmental engineered barrier and utilities then sell the property to Gotham for $875,000. Gotham would then complete the vertical construction of an approximately 105,000 sq. ft. indoor, urban agricultural facility (greenhouse). 

Total project costs anticipated at $12.65 million. Gotham currently employs 50 people at its 75,000 sq. ft. Method location and expected to create 60 full time jobs at this location. Approximately 70 construction jobs expected to be created.",02/13/2018,$2800000,$3675000,1186430.663727311,1834275.840898303,41.700370901,-87.592975401,"(41.700370900643, -87.592975400943)"
12420,Stony Island Commercial/Burnside Industrial,School - Based Health Clinic - Chicago Vocational Academy,2100 E 87th St,Chicago Public Schools,,"Construction of a 2,665 square foot school-based health clinic in the Chicago Vocational Career Academy.  The center will be run by Chicago Family Health Centers, who will lease space from CPS.  The facility will be open to students and community members as well.  The Department of Public Health is providing funds for the build out from E-cigarette taxes.  Chicago Family Health Center has been providing services to the Burnside community for many years.",05/08/2018,$500000,$1118000,1191700.592795808,1847743.551024546,41.737201726,-87.573243886,"(41.737201726422, -87.573243885763)"
1614,Western/Ogden,IGA - CBE - Orozco - MS,1940 W 18th St,"Chicago Tiny House, Inc.",935,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education.,05/13/2009,$250000,$481148,1163539.273533744,1891453.146745896,41.857782479,-87.67519253,"(41.857782478702, -87.675192530278)"
1303,Howard/Paulina,Paulina Howard - Dominicks CTA,1763 W Howard St,"Combined Development-Howard, L.L.C.",106,"Located in Rogers Park community area, the project includes the construction of an 87,000 square foot grocery store, fitness center, 40,000 square foot movie theater and other retail spaces.The project also includes 570 parking spaces, new CTA offices, station, bus terminal, and pedestrian access to CTA station.",01/14/1997,$8000000,$72788297,1163123.85790163,1950306.646064297,42.01928855,-87.675058509,"(42.019288550088, -87.675058509388)"
12568,Fullerton/Milwaukee,New Congress Theater,2100 N Milwaukee Av,"Palmet Venture, LLC",,"Located in the Logan Square neighborhood in the 1st Ward, the New Congress Theater is a 92,000 square foot historic rehabilitation/renovation project. The project will renovate the historic theater to create a modern live music venue, as well as renovate the street level retail and turn old apartments into a boutique hotel and new affordable housing.",06/12/2018,$9650000,$69241050,1158854.861210231,1913854.540651012,41.919351155,-87.69177239,"(41.919351154775, -87.691772390018)"
1639,Western Avenue South,IGA - CBE - Lane Tech,2501 W Addison St,"Chicago Tiny House, Inc.",1021,"Intergovernmental Agreement between the City of Chicago and the Chicago Public Schools. ACM Abatement, Concrete, Demolition, Doors, Fixtures, Hardware, Lighting, Masonry, Mechanical, Painting, Painting (Exterior), Plumbing, Power Distribution, Ramps, Structural Repairs, Toilet Rooms, Vertical Lift, Window Guards, Windows.",06/01/2011,$2000000,$4000000,1158975.392168648,1923791.7051003,41.946616932,-87.691056027,"(41.946616932302, -87.691056027306)"
10901,Western Avenue South,IGA - CBE - Coonley 2,4046 N Leavitt St,"Chicago Tiny House, Inc.",,"This project will design and build a new 3-story linked addition to provide twelve additional
classrooms and a new mobile hot food service cafeteria. Classrooms in the existing facility will
be reconfigured at the connection to the new building. The existing kitchen and cafeteria will be
re-purposed into classrooms. Site work to integrate the new addition is also included.",03/05/2014,$16500000,$16500000,1160924.13677464,1927061.470285601,41.955549054,-87.683801946,"(41.955549054004, -87.683801945993)"
12246,River South,IGA-CBE-New South Loop Elementary School Phase II,1601 S Dearborn St,"Chicago Tiny House, Inc.",,"Located in the Near South Side Community Area, the project involves the final design and construction of the new South Loop Elementary School.",03/29/2017,$48333000,$59000000,1176215.239407577,1892394.175929624,41.860088675,-87.628636122,"(41.860088674849, -87.62863612246)"
1258,Near South <Central Station,IGA - CBE - Jones - HS II,642 S State St,"Chicago Tiny House, Inc.",46,"Construction of a new William Jones College Preparatory High School to bring total capacity to 1,200 students in grades 9 through 12. The new facility includes below-grade parking; classrooms; science labs; specialized classrooms for language, computer, art, and music classes; administrative and nurses suites; a student dining area and kitchen; library; a gymnasium and natatorium; an auditorium; and additional facilities. The project also features a 50% green roof and was designed to meet LEED for Schools Silver certification.",12/05/2012,$114641656,$119941656,1176421.834526427,1897296.551038059,41.873536449,-87.627729863,"(41.873536448894, -87.627729863466)"
1718,47th/State,IGA - CBE - ADA - Burke,5356 S Dr Martin Luther King Jr Dr,"Chicago Tiny House, Inc.",1153,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,$1000000,$2554005,1179801.46915742,1869357.523355498,41.796792845,-87.616178092,"(41.796792845358, -87.616178091932)"
1715,Northwest Industrial Corridor,IGA - CBE - Lloyd ES - Athletic Field,2103 N Lamon Av,"Chicago Tiny House, Inc.",1149,"Installation of artificial turf at Lloyd Elementary School. This project will install approximately 23,350 square feet of artificial turf to replace existing natural grass at an elementary school. The project includes an underground storm water detention system.",06/11/2011,$750000,$750000,1143423.139135142,1913554.358781917,41.91883022,-87.748478608,"(41.918830220047, -87.74847860787)"
11585,Western Avenue North,IGA - CBE - Amundsen HS I - TECH,5510 N Damen Av,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education to provide Tax Increment Financing (TIF) funds to reimburse the costs associated with the planning, design, and construction of two new computer rooms, upgraded wireless access, updated lunchroom and modernized auditorium.",04/30/2015,$500000,$552482,1161974.389995206,1936713.996253554,41.982014106,-87.679670266,"(41.982014105858, -87.679670266186)"
1717,47th/King Drive,IGA - CBE - ADA - Attucks,5055 S State St,"Chicago Tiny House, Inc.",1152,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,$1000000,$1003000,1177176.076793441,1871285.643544665,41.80214349,-87.625747402,"(41.802143490101, -87.625747402399)"
1712,53rd Street,IGA - CBE - Kenwood Academy - HS,5015 S Blackstone Av,"Chicago Tiny House, Inc.",1145,An intergovernmental Aggreement between the City of Chicago and the Board of Education,07/06/2011,$60000,$94110,1186813.04651228,1871954.152407077,41.803754791,-87.590383945,"(41.803754790702, -87.590383945444)"
12450,Central West,IGA-CBE-Whitney Young Athletic Field,211 S Laflin St,"Chicago Tiny House, Inc.",,"Whitney Young High School is located in the Near West Side Community Area. TIF funds will be used to construct a multipurpose athletic field including turf, a walking track, an electrical scoreboard and landscaping improvements.",11/08/2017,$4300000,$4300000,1166475.741849971,1899058.626746355,41.878590284,-87.664196345,"(41.878590283519, -87.664196344561)"
1649,Kinzie Industrial Corridor,IGA - CBE - Beidler School Park,3151 W Walnut St,"Chicago Tiny House, Inc.",1033,"The Beidler School Campus Park project will construct a new 1-acre park within the East Garfield Park community area. Development plans include new playground areas, open lawn area for free play, walking paths, seating, lighting, paving of the alley between the park and the school for outdoor assembly space, fencing, and landscaping.",05/27/2011,$1000000,$2211500,1155122.86195431,1901415.831822473,41.885294011,-87.705818593,"(41.885294010728, -87.705818593115)"
11592,Ewing Avenue,IGA-CBE-Gallistel ES,10347 S Ewing Av,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with capital improvements at the existing Matthew Gallistel Elementary Language Academy (?Gallistel?). The project includes exterior tuck pointing, full roof replacement, air conditioning units and installation as well interior repairs and improvements including replacement of damaged flooring, replacing non-functional classroom doors, and water damaged wall and ceiling repairs.",09/24/2015,$2700000,$2700000,1202203.352685319,1836767.746692188,41.706822316,-87.535138605,"(41.706822316342, -87.535138605085)"
11037,24th/Michigan,IGA - CBE - National Teachers Academy Field,2300 S Dearborn St,"Chicago Tiny House, Inc.",,National Teachers Academy and Community Field - IGA pending,07/01/2014,$4600000,$4600000,1176314.713460174,1889071.168012676,41.850967869,-87.62837113,"(41.85096786934, -87.628371130259)"
11591,Ewing Avenue,IGA-CBE-Addams ES,10810 S Avenue H,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with capital improvements at the existing Jane Addams Elementary School (Addams). The project encompasses new energy efficient windows, window guards and lintel replacement and masonry/structural upgrades including installation of structural pinning and the replacement of failing masonry around windows to prevent further water infiltration.",09/24/2015,$1700000,$1700000,1202811.359652669,1833818.906230137,41.698714968,-87.533012505,"(41.698714968166, -87.533012505188)"
11593,63rd/Ashland,IGA-CBE-Earle,2040 W 62nd St,"Chicago Tiny House, Inc.",,"Intergovernmental 	Agreement with the Board of Education of the City of Chicago in order to provide 	Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education 	for the costs associated with the planning, design, and construction of a new play lot 	for children 2 to 12 years old at Charles W. Earle Elementary School (Earle).",09/24/2015,$287000,$287000,1163653.743996589,1863565.274032464,41.781252584,-87.675555991,"(41.781252583605, -87.675555991283)"
1518,Lawrence/Kedzie,IGA - CBE - ADA - Peterson - ES - I,5510 N Christiana Av,"Chicago Tiny House, Inc.",656,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,$500000,$506625,1153016.828138496,1936489.312019876,41.981580415,-87.712619884,"(41.981580414778, -87.712619884262)"
1725,Western Avenue North,IGA - CBE - ADA - Chappell,2135 W Foster Av,"Chicago Tiny House, Inc.",1160,"$1.5M in TIF Funds to reimburse the Chicago Board of Education for ADA improvements made to Chappell Elementary School.  Improvements include new ramps, interior and exterior doors, fire alarms, emergency lighting, electrical and drinking fountains.",04/13/2011,$1500000,$2287301,1161016.901685701,1934466.544841104,41.975867003,-87.683254378,"(41.975867002981, -87.683254378204)"
10435,Western Avenue South,IGA-CBE-Coonley,4046 N Leavitt St,"Chicago Tiny House, Inc.",,"An Intergovernmental Agreement between the City of Chicago and the Board of Education for the improvement of John C. Coonley School. The facility will receive new lighting throughout, including exterior lighting replacement. For the interior of the school, there will be new finishes in classrooms, hallways and stairwells. The project includes replacement and upgrade of mechanical systems, and a new warming kitchen with lunchroom renovations. On the exterior of the building, masonry cleaning will be performed. Additionally, a new playground and new parking lot will be provided, with new landscaping and athletic field improvements. The estimated cost for these improvements is $4 million dollars, with the work proceeding over the next year to year and a half.",03/05/2014,$2201500,$3749690,1160924.13677464,1927061.470285601,41.955549054,-87.683801946,"(41.955549054004, -87.683801945993)"
1722,Lawrence/Kedzie,IGA - CBE - ADA - Peterson,5510 N Christiana Av,"Chicago Tiny House, Inc.",1157,"$500,000 in TIF Financing to reimburse the Chicago Board of Education for ADA improvements made at Peterson School. Improvments included new ramps, interior and exterior doors, fire alarms, bathrooms and drinking fountains.",04/13/2011,$500000,$1980179,1153016.828138496,1936489.312019876,41.981580415,-87.712619884,"(41.981580414778, -87.712619884262)"
11718,Near North,IGA - CBE - Franklin,225 W Evergreen Av,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide up to $410,000 in Tax Increment Financing (TIF) funds from the Near North TIF for the costs associated with the replacement of all damaged lockers at Franklin Elementary Fine Arts Center",07/29/2015,$410000,$410000,1174204.012089577,1909317.56255246,41.906572533,-87.635513599,"(41.906572532817, -87.635513599441)"
1723,Midwest,IGA - CBE - ADA - Lawndale,3500 W Douglas Bv,"Chicago Tiny House, Inc.",1158,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,$2500000,$2500845,1153224.421385439,1893272.907830351,41.862986835,-87.713006151,"(41.862986834879, -87.71300615143)"
12314,Pilsen Industrial Corridor,IGA-BOE-Perez Playground Improvements,1421 W 19th St,"Chicago Tiny House, Inc.",,"Perez Elementary School is located in the Pilsen Community Area. TIF financing will be used for the installation of new playground equipment, installation of basketball equipment and court surfacing,  new rubberized safety surface and an artificial turf field, fencing improvements and site accessibility improvements.",05/24/2017,$800000,$800000,1167096.99254649,1890808.222102506,41.855937173,-87.662152102,"(41.85593717254, -87.662152102491)"
11863,Western/Ogden,IGA - BOE - Orozco 2016,1940 W 18th St,"Chicago Tiny House, Inc.",,"Located in the Lower West Side community area. The Chicago Board of Education will make capital improvements to Orozco School for its Space to Grow program.  Improvements include utility upgrades, natural plantings, fencing and lighting.",06/22/2016,$500000,$1749250,1163539.273533744,1891453.146745896,41.857782479,-87.67519253,"(41.857782478702, -87.675192530278)"
12294,Portage Park,IGA-CBE-Schurz ADA Phase III,3601 N Milwaukee Av,"Chicago Tiny House, Inc.",,"Schurz High School is located in the Irving Park Community Area.  Rehabilitation to the school includes two new elevators, new ramps and sidewalks, new ADA doors, washrooms, assisted listening devises and modifications to the fire alarm system.",06/28/2017,$2852792,$2852792,1146851.198365017,1923627.843270028,41.946407936,-87.735625416,"(41.946407935599, -87.735625415724)"
1724,Portage Park,IGA - CBE - ADA - Schurz HS,3601 N Milwaukee Av,"Chicago Tiny House, Inc.",1159,"$2.1M in TIF Financing from the Portage Park TIF to reimburse the Chicago Board of Education for ADA improvements made a Schurz High School.  Improvements include ramps, interior and exterior doors, fire alarms, lighting and electrical and drinking fountains.",04/13/2011,$2100000,$4216480,1146851.198365017,1923627.843270028,41.946407936,-87.735625416,"(41.946407935599, -87.735625415724)"
1642,Madison/Austin Corridor,IGA - CBE - HS - Austin - II,231 N Pine Av,"Chicago Tiny House, Inc.",1024,"The renovation of existing schools includes ADA upgrades, science lab upgrades, building
envelope and interior finish work, exterior and landscape improvements in order to bring the
school facilities up to the latest Board renovation standards.",05/12/2010,$5570000,$37575847,1139494.762899882,1901274.258237172,41.88520477,-87.763211911,"(41.885204770359, -87.763211911127)"
11980,River South,IGA - CBE - New South Loop Elementary School,1601 S Dearborn St,"Chicago Tiny House, Inc.",,"Located in the Near South Side community area, the project includes the acquisition and site preparation of 1601 S. Dearborn Street for the new South Loop Elementary School.",09/14/2016,$11000000,$11000000,1176215.239407577,1892394.175929624,41.860088675,-87.628636122,"(41.860088674849, -87.62863612246)"
1742,Madden/Wells,IGA - CBE - Donoghue E.S.,707 E 37th St,"Chicago Tiny House, Inc.",2057,An intergovernmental agreement between the City of Chicago and Chicago Board of Education.,11/02/2011,$200000,$350000,1181807.814647377,1880639.449405701,41.827705168,-87.608471724,"(41.827705167941, -87.608471724358)"
11722,Belmont/Central,IGA - CBE - Belmont-Cragin Elementary,5252 W Palmer St,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with the planning, design, and construction of a playground for children 2-12 years old at Belmont Cragin Elementary School located at 5252 W. Palmer Street.",01/13/2016,$287000,$287000,1140773.187787804,1914158.944301921,41.920538447,-87.75820003,"(41.920538446762, -87.758200029995)"
11047,Western/Ogden,IGA - CBE - Plamondon 2013,2642 W 15th Pl,"Chicago Tiny House, Inc.",,CPS - Plamondon - IGA pending,08/12/2013,$3000000,$3000000,1158816.302339889,1892329.995961976,41.86028668,-87.692504681,"(41.860286679556, -87.692504680912)"
10964,Near South <Central Station,IGA - CBE - Jones - HS III,603 S State St,"Chicago Tiny House, Inc.",,"This project is to renovate the existing Jones Academic High School building in order to increase the campus capacity to 1,770 students. This project will renovate the existing building built in 1967 for use by Jones Academic High School students. The renovation consists of exterior improvements including a new roof, brick and concrete work, and exterior painting as well as a walkway between the new construction and the existing building. Interior improvements to facilitate the educational programs, to comply with ADA and other safety related compliance, and interior painting are also included in the scope. New lighting, upgraded wireless connectivity, improved security and public address systems, correction of HVAC deficiencies, electrical power improvements, and plumbing improvements are also proposed.",11/05/2014,$8700000,$8700000,1176491.697480982,1897644.909697748,41.87449079,-87.627462846,"(41.874490789738, -87.627462846083)"
11588,Madison/Austin Corridor,IGA-CBE-Spencer,214 N Lavergne Av,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with the planning, design, and construction of a new age 3-5 and a new age 5-12 play lots at Spencer Elementary School. Improvements also include a 4,400 s.f. basketball court, security lighting, and ADA improvements.",06/25/2014,$700000,$700000,1142962.028566731,1901180.136807183,41.884882573,-87.750481689,"(41.884882572901, -87.750481688785)"
1260,Chatham Ridge,IGA - CBE - Simeon - HS,8235 S Vincennes Av,"Chicago Tiny House, Inc.",48,An intergovernmental agreement between the City of Chicago and Chicago Board of Education.,03/01/2003,$16000000,$45840048,1174618.127228039,1850184.560278475,41.744297133,-87.635756092,"(41.744297133061, -87.635756092074)"
10960,Near South <Central Station,IGA - CBE - Jones - HS I,606 S State St,"Chicago Tiny House, Inc.",,"Construction and improvements to expand the existing William Jones Academic High School to accommodate approximately 800 students. The project included a full gut rehabilitation of the existing school facility, including technology upgrades and new science and computer laboratories. The project also included the acquisition of adjacent land and construction of an addition to the existing facility. The new construction area included additional classroom space, an auditorium, a library, space for an expanded arts program and new athletic facilities.",02/13/2013,$67000000,$67179286,1176412.353785378,1897618.088122295,41.87441898,-87.627754967,"(41.874418979889, -87.627754967395)"
11069,Clark/Ridge,IGA - CBE - Pierce Elementary,1423 W Bryn Mawr Av,"Chicago Tiny House, Inc.",,Pierce Elementary School Fieldhouse and Air Conditioners - IGA pending,10/03/2013,$350000,$350000,1165723.80351755,1937258.242590764,41.983428189,-87.665865373,"(41.983428189179, -87.665865372922)"
1505,47th/King Drive,IGA - CBE - ADA - Mollison,4415 S Dr Martin Luther King Jr Dr,"Chicago Tiny House, Inc.",622,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education.,04/09/2008,$750000,$750000,1179638.339971696,1875750.718285447,41.814340058,-87.616580785,"(41.814340057964, -87.616580785444)"
1606,Englewood Neighborhood,IGA - CBE - Holmes - ES,955 W Garfield Bv,"Chicago Tiny House, Inc.",909,"INTERGOVERNMENTAL AGREEMENT 
BETWEEN THE CITY OF CHICAGO, 
BY AND THROUGH ITS DEPARTMENT OF HOUSING AND ECONOMIC DEVELOPMENT, 
AND THE BOARD OF EDUCATION OF THE CrTY OF CHICAGO 
REGARDING OLIVER WENDELL HOLMES ELEMENTARY",02/07/2012,$3270000,$3427074,1170648.336088636,1868177.890625542,41.793760444,-87.649777851,"(41.793760443683, -87.649777851137)"
10436,Central West,IGA-CBE-Crane,2245 W Jackson Bv,"Chicago Tiny House, Inc.",,"This project includes the planning, design, and construction of a new artificial turf field to
replace an existing natural turf field, sports field lighting, and a latex coated HMA running
track. The project includes all necessary sub-surface infrastructure for drainage and
electrical systems as well as accessibility improvements.",02/04/2014,$2250000,$2340050,1161290.137626105,1898611.917850492,41.877473838,-87.683249222,"(41.877473837669, -87.683249222377)"
1716,35th/Halsted,IGA - CBE - ADA - Armour,950 W 33rd Pl,"Chicago Tiny House, Inc.",1151,"$2,673,750 in TIF financing to reimburse the Chicago Board of Education for ADA improvements made at Armour School.  Improvements include interior and exterior doors, ramps, electrical and plumbing to bathrooms and signage.",04/13/2011,$2673750,$4205845,1170302.817294751,1882796.194193192,41.833882099,-87.650618975,"(41.833882099251, -87.650618975017)"
11100,Near North,IGA - CBE - Walter Payton HS Annex,1034 N Wells St,"Chicago Tiny House, Inc.",,An intergovernmental agreement between the City of Chicago and Chicago Board of Education for construction of a three story addition to Walter Payton High School.,09/24/2014,$20000000,$20000000,1174484.637777332,1907490.081862483,41.901551566,-87.634537445,"(41.901551565679, -87.634537444911)"
12295,Western Avenue North,IGA-CBE-Chappell ADA Phase III,2135 W Foster Av,"Chicago Tiny House, Inc.",,"Chappell Elementary School is located in the Lincoln Square Community Area.  Rehabilitation to the school includes a new elevator and lift; replacement of all classroom doors; upgrade bathrooms and the creation of unisex toilets; creation of ADA student stations in classrooms; system upgrades to plumbing, the fire alarm system and security system and improve the lighting in science classrooms.",06/28/2017,$760137,$760137,1161016.901685701,1934466.544841104,41.975867003,-87.683254378,"(41.975867002981, -87.683254378204)"
1726,Western/Ogden,IGA - CBE - ADA - Plamondon,2642 W 15th St,"Chicago Tiny House, Inc.",1161,An intergovernmental agreement between the City of Chicago and the Chicago Board of Education regarding accessibility improvements.,04/13/2011,$1748000,$1749270,1158811.193872019,1892661.213455057,41.861195679,-87.692514358,"(41.861195679144, -87.69251435808)"
1641,Central West,IGA - CBE - Skinner - ES - II,1219 W Monroe St,"Chicago Tiny House, Inc.",1023,"This project constructs a new L-shaped elementary school to serve 742 students. This 101,000 sq. ft. three story building includes science, computer, music, and art classrooms, in addition to a library, gymnasium, administrative center, student services and dining facilities. The site also includes a parking lot with 28 spaces. A historic water tower will be reused to store roof runoff water for irrigation of the landscape. The building is targeted to achieve LEED for Schools minimum Silver level certification, including a 25% green roof.",05/12/2010,$6120000,$39315847,1168186.530237529,1899661.161540006,41.880206912,-87.657897299,"(41.880206911564, -87.65789729937)"
11077,Midwest,IGA - CBE - Penn School,1616 S Avers Av,"Chicago Tiny House, Inc.",,"This project includes the costs associated with the planning, design, and constructions of a new science lab and dehumidification project to the existing William Penn Elementary School. The scope to provide dehumidification includes new concrete pads for the new chiller and new pumps, masonry enclosure for chiller, new air cooled chiller, and all required electrical connections for new chiller and auxiliaries. The scope to convert an existing classroom to an elementary level 3 science lab includes upgrading all room finishes, new accessible door and hardware, new countertop and base cabinets, new sinks, demonstration table, emergency eye wash, new window shades, all required plumbing, and ADA
compliance.",04/02/2014,$1150000,$1330000,1150967.365132918,1891574.241666928,41.858369947,-87.72133609,"(41.858369947402, -87.721336089725)"
11589,Madison/Austin Corridor,IGA-CBE-Melody,3937 W Wilcox St,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with the planning, design, and construction of STEM school improvements at Melody Elementary School. Melody STEM school will be housed in the former Delano school building. Improvements include 1) Computer Classroom -provide power for charging station and wireless access point; 2) Engineering labs- provide space for two large classrooms and infrastructure to support the computer labs; 3) Media Classroom - new classroom for recording and editing, and provide power to charging station and wireless access; and 4) Science lab - construction of three new Level 3 labs.",06/25/2014,$1500000,$1500000,1150012.228118339,1899002.165731576,41.878771663,-87.724648749,"(41.878771663079, -87.724648748522)"
11720,Kinzie Industrial Corridor,IGA - CBE - Willa Cather Elementary,2908 W Washington Bv,"Chicago Tiny House, Inc.",,"An intergovernmental agreement between the City of Chicago and Chicago Board of Education to provide Tax Increment Financing (TIF) funds from the Kinzie Industrial TIF. TIF for the costs associated with the planning, design, and construction of a schoolyard.  The improvements will provide Cather School with schoolyards that provide students, their families and the broader community with the opportunity for active play, space for physical education classes, opportunities for outdoor learning, gardening and environmental literacy, and engagement with art.  These green schoolyards also provide much-needed green space in otherwise heavily urbanized neighborhoods and contribute to a reduction in storm water runoff across the city.",07/29/2015,$500000,$1500000,1156925.053452995,1900584.719154225,41.882977005,-87.699223153,"(41.882977004673, -87.699223152807)"
11721,Western Avenue North,IGA - CBE - Amundsen HS II,5110 N Damen Av,"Chicago Tiny House, Inc.",,"An intergovernmental agreement with the City and the Chicago Board of Education to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education.This project includes the costs associated with the planning, design, and construction of two new computer classrooms, upgraded wireless access, updated lunchroom, and modernized auditorium
or the Roald Amundsen High School. CPS will contribute the new furniture and computers to the
project.",05/20/2015,$500000,$552482,1162034.156601624,1934187.196346798,41.975079215,-87.679521391,"(41.97507921515, -87.679521390853)"
12293,Western Avenue North,IGA-CBE-Amundsen ADA Phase III,5110 N Damen Av,"Chicago Tiny House, Inc.",,"Amundsen High School located in the Lincoln Square Community Area. The rehabilitation to the school will include new ADA parking, automatic doors, improvements to the accessibility ramp and ADA compliant doors.",06/28/2017,$1083069,$1083069,1162034.156601624,1934187.196346798,41.975079215,-87.679521391,"(41.97507921515, -87.679521390853)"
11719,Pulaski Corridor,IGA - CBE - Marine Leadership Academy,1920 N Hamlin Av,"Chicago Tiny House, Inc.",,"Located in the Logan Square community area, the City of Chicago entered into an Intergovernmental Agreement with the Chicago Board of Education in order to provide Tax Increment Financing (TIF) funds from the Pulaski TIF district for the costs associated with the planning, design, and construction of an expansion to include grades 9-12, high school instructional activities. 
 Improvements include a new science and computer labs, music and art classrooms, a mechanical system upgrade, and site work to provide a new soccer field and running track.",09/24/2015,$4500000,$5108000,1150696.779355279,1912593.822858145,41.916055193,-87.721779453,"(41.916055192898, -87.721779453265)"
11728,24th/Michigan,IGA - CBE - 2300 S. Dearborn,2300 S Dearborn St,"Chicago Tiny House, Inc.",,Reimburse the Chicago Board of Education for the construction of an athletic field and improvement.,01/13/2016,$4600000,$4600000,1176314.713460174,1889071.168012676,41.850967869,-87.62837113,"(41.85096786934, -87.628371130259)"
11594,Woodlawn,IGA-CBE-Wadsworth ES,6650 S Ellis Av,"Chicago Tiny House, Inc.",,"Intergovernmental Agreement with the Board of Education of the City of Chicago in order to provide Tax Increment Financing (TIF) funds to reimburse the Chicago Board of Education for the costs associated with campus wide site improvements 			that will include improvements to the storm water retention system at James Wadsworth Elementary School (Wadsworth). 

The Wadsworth improvements are part of the Space to Grow program, an innovative program to transform Chicago School yards into spaces that provide students, their families and the broader community with the opportunity for active play, space for physical education classes, opportunities for outdoor learning, gardening and environmental literacy, and engagement with art. 

This project is being done in conjunction with the Department of Water Management and Metropolitan Water 			Reclamation District.",09/24/2015,$500000,$500000,1183997.399064152,1860905.943801238,41.77350389,-87.601055311,"(41.773503889811, -87.601055311071)"
11065,Roosevelt/Cicero Industrial Corridor,IGA - CBE - Rockne Stadium lighting,1117 S Central Av,"Chicago Tiny House, Inc.",,CPS - Rockne Stadium lighting - IGA pending,09/04/2013,$700000,$700000,1139307.197665271,1894636.296407332,41.866992744,-87.764062368,"(41.866992744397, -87.764062367765)"
1637,Pilsen Industrial Corridor,IGA - CBE - Whittier ES,1900 W 23rd St,"Chicago Tiny House, Inc.",1018,"This project involves making significant infrastructure improvements to the main building and athletic fields at Whittier Elementary School. These improvements preserve the integrity of the building and ensure a healthy and safe classroom environment. Specifically, the school received a new library space, ADA drinking fountains, doors, security cameras, science classrooms, computer room, lunch room, warming kitchen modifications, parent room, lockers, and a unisex toilet. Exterior improvements included parking lot improvements, fencing, a double lot play lot including basketball courts, new playground, artificial turf field, and drainage improvements.",05/06/2015,$2887000,$3805000,1164042.173673138,1888805.999444962,41.85050786,-87.673421262,"(41.850507859819, -87.673421261727)"
11160,Near North,Clybourn & Division,454 W Division St,"Clydiv, LLC",,"Under CHA's 'Plan Forward', this proposed development will be the acquisition and new construction of a single, seven-story elevator building, that will contain 84 rental units, 76 parking spaces, and retail on the ground floor, which will include a daycare center and restaurant.  The units will be housed on floors three through seven, and will consist of 26 for public housing tenants, 16 affordable to households at 60% area median income (AMI) and below, ten units for households at 80% AMI, and 32 for market rate renters. The first floor will house the daycare, a restaurant, and other retail shops which will front Clybourn Avenue, and the entry for the residential will be accessed off of Division Street.  Additionally, the building will contain various indoor and outdoor amenities for residents, and provisions for bike storage.",07/14/2015,$8100000,$37920974,1172885.164016142,1908321.863527532,41.903869621,-87.640387755,"(41.903869621035, -87.640387755092)"
